WigleWifi-1.4,appRelease=2.26,model=Uniden C505,release=5.1,device=Uniden C505,display=V510_IS_CY_MT6735M_L1_V1.4,board=MT6735P,brand=Uniden
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
40:a5:ef:7a:17:f2,2.4V1,[WPA2-PSK-CCMP][WPS][ESS],2017-12-04 14:27:45,6,-84,32.1034666666667,35.2086083333333,629.7,4.69999980926514,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],2017-12-04 14:27:45,1,-73,32.1034666666667,35.2086083333333,629.7,4.69999980926514,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],2017-12-04 14:27:45,11,-73,32.1034666666667,35.2086083333333,629.7,4.69999980926514,WIFI
42502_811_3868449,GOLAN T,UNKNOWN;il,2017-12-04 14:27:45,0,-83,32.1034666666667,35.2086083333333,629.7,4.69999980926514,GSM
1c:b9:c4:16:f4:78,Ariel_University,[ESS],2017-12-04 14:27:47,1,-77,32.1035033333333,35.2086416666667,629.7,4,WIFI
42502_811_3868449,GOLAN T,UNKNOWN;il,2017-12-04 14:27:47,0,-75,32.1035033333333,35.2086416666667,629.7,4,GSM
40:a5:ef:7a:17:f2,2.4V1,[WPA2-PSK-CCMP][WPS][ESS],2017-12-04 14:27:49,6,-79,32.1034833333333,35.2086883333333,629.8,3.29999995231628,WIFI
00:27:22:f3:bb:3a,,[ESS],2017-12-04 14:27:51,6,-81,32.1034883333333,35.2087083333333,629.8,3.20000004768372,WIFI
ec:8c:a2:09:03:38,Ariel_University,[ESS],2017-12-04 14:27:53,11,-85,32.1034866666667,35.20873,629.8,3.09999990463257,WIFI
78:11:dc:1a:cf:d0,TamiRacheli,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-04 14:27:56,8,-81,32.1035133333333,35.2087566666667,629.7,3.09999990463257,WIFI
ec:8c:a2:08:78:38,Ariel_University,[ESS],2017-12-04 14:28:02,1,-85,32.1034733333333,35.208785,629.5,2.90000009536743,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],2017-12-04 14:28:05,1,-63,32.1034783333333,35.2087933333333,629.4,3,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],2017-12-04 14:28:05,11,-69,32.1034783333333,35.2087933333333,629.4,3,WIFI
1c:b9:c4:16:13:08,Ariel_University,[ESS],2017-12-04 14:28:07,11,-75,32.10348,35.2087983333333,629.3,3.09999990463257,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-12-04 14:28:07,11,-80,32.10348,35.2087983333333,629.3,3.09999990463257,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],2017-12-04 14:28:07,6,-86,32.10348,35.2087983333333,629.3,3.09999990463257,WIFI
00:02:6f:b8:c4:1a,,[ESS],2017-12-04 14:28:07,11,-85,32.10348,35.2087983333333,629.3,3.09999990463257,WIFI
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-04 14:28:10,4,-86,32.103465,35.2088116666667,629.3,3.09999990463257,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],2017-12-04 14:28:10,1,-78,32.103465,35.2088116666667,629.3,3.09999990463257,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],2017-12-04 14:28:14,11,-64,32.1034316666667,35.2088316666667,629.3,3.09999990463257,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-12-04 14:28:16,11,-67,32.1034416666667,35.2088066666667,629.3,3,WIFI
1c:b9:c4:14:2f:68,Ariel_University,[ESS],2017-12-04 14:28:16,6,-86,32.1034416666667,35.2088066666667,629.3,3,WIFI
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-04 14:28:22,4,-81,32.1034433333333,35.208865,629.2,2.90000009536743,WIFI
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-12-04 14:28:22,1,-83,32.1034433333333,35.208865,629.2,2.90000009536743,WIFI
1c:b9:c4:16:f4:78,Ariel_University,[ESS],2017-12-04 14:28:23,1,-69,32.1034366666667,35.208885,629.2,2.90000009536743,WIFI
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-12-04 14:28:24,1,-71,32.10343,35.2088983333333,629.1,2.90000009536743,WIFI
1c:b9:c4:14:2f:68,Ariel_University,[ESS],2017-12-04 14:28:26,6,-76,32.1034083333333,35.2089066666667,629.1,2.79999995231628,WIFI
8c:0c:90:ad:75:e3,,[WPA2-PSK-CCMP][ESS],2017-12-04 14:28:26,1,-82,32.1034083333333,35.2089066666667,629.1,2.79999995231628,WIFI
1c:b9:c4:16:f4:28,Ariel_University,[ESS],2017-12-04 14:28:26,11,-84,32.1034083333333,35.2089066666667,629.1,2.79999995231628,WIFI
1c:b9:c4:16:28:f8,Ariel_University,[ESS],2017-12-04 14:28:28,6,-80,32.1033816666667,35.2089233333333,629.1,2.79999995231628,WIFI
